10062024-1453, dinov2_vitb14                 , 14, 11   , dense     , 1000, 0.25, NAVI_wild_all, 35.72, 54.05, 82.29,  6.03, 32.46, 49.03, 90.96, 70.52, 44.45, 32.98 
10062024-1455, dino_vitb16                   , 16, 11   , dense     , 1000, 0.25, NAVI_wild_all, 26.00, 42.07, 73.57,  4.47, 23.00, 37.28, 88.37, 56.93, 29.27, 20.61 
10062024-1523, dino_vitb16                   , 16, 11   , dense     , 1000, 0.25, NAVI_wild_all, 26.00, 42.07, 73.57,  4.47, 23.00, 37.28, 88.37, 56.93, 29.27, 20.61 
10062024-1526, dino_vitb16                   , 16, 11   , dense     , 1000, 0.25, NAVI_wild_all, 26.00, 42.07, 73.57,  4.47, 23.00, 37.28, 88.37, 56.93, 29.27, 20.61 
10062024-1535, dino_vitb16                   , 16, 11   , dense     , 1000, 0.25, NAVI_wild_all, 26.00, 42.07, 73.57,  4.47, 23.00, 37.28, 88.37, 56.93, 29.27, 20.61 
10062024-1607, dino_vitb16                   , 16, 11   , dense     , 1000, 0.25, NAVI_wild_all, 72.92, 35.01, 13.15,  8.58, 88.37, 56.93, 29.27, 20.61, 96.98, 86.28, 69.66, 56.58,  4.47, 23.00, 37.28, 88.37, 56.93, 29.27, 20.61 
10062024-1610, dinov2_vitb14                 , 14, 11   , dense     , 1000, 0.25, NAVI_wild_all, 78.36, 48.26, 24.57, 16.20, 90.96, 70.52, 44.45, 32.98, 98.26, 92.81, 79.20, 69.71,  6.03, 32.46, 49.03, 90.96, 70.52, 44.45, 32.98 
10062024-1619, clip_vitb16openai             , 16, 11   , dense     , 1000, 0.25, NAVI_wild_all,  9.20,  5.14,  2.90,  1.96, 23.99, 15.35, 10.91,  7.66, 63.64, 54.02, 49.66, 42.13,  0.19,  2.84,  8.68, 23.99, 15.35, 10.91,  7.66 
10062024-1622, clip_vitb16laion2b_s34b_b88k  , 16, 11   , dense     , 1000, 0.25, NAVI_wild_all,  8.81,  4.82,  3.02,  2.00, 23.23, 15.65, 11.17,  7.68, 64.60, 55.63, 50.19, 41.10,  0.15,  2.76,  8.59, 23.23, 15.65, 11.17,  7.68 
10062024-1625, clip_vitl14336openai          , 14, 23   , dense     , 1000, 0.25, NAVI_wild_all,  7.04,  4.48,  2.90,  1.92, 19.36, 14.14, 10.29,  7.54, 60.20, 52.49, 47.93, 40.98,  0.15,  2.53,  7.83, 19.36, 14.14, 10.29,  7.54 
10062024-1631, cnxt_b_w_laion2b_s13b_b82k    , 16, 3    , dense     , 1000, 0.25, NAVI_wild_all, 61.45, 26.60, 11.13,  8.13, 78.75, 48.03, 26.64, 20.33, 92.96, 78.94, 65.12, 54.57,  2.96, 18.71, 33.65, 78.75, 48.03, 26.64, 20.33 
10062024-1645, vit-mae-base                  , 16, 11   , dense     , 1000, 0.25, NAVI_wild_all, 61.58, 23.00,  7.76,  4.08, 78.10, 42.10, 19.00, 12.05, 94.01, 78.75, 62.84, 48.01,  3.80, 16.66, 27.17, 78.10, 42.10, 19.00, 12.05 
10062024-1647, clip_vitb16openai             , 16, 11   , dense     , 1000, 0.25, NAVI_wild_all,  9.20,  5.14,  2.90,  1.96, 23.99, 15.35, 10.91,  7.66, 63.64, 54.02, 49.66, 42.13,  0.19,  2.84,  8.68, 23.99, 15.35, 10.91,  7.66 
10062024-1648, clip_vitb16openai             , 16, 11   , dense     , 1000, 0.25, NAVI_wild_all,  9.20,  5.14,  2.90,  1.96, 23.99, 15.35, 10.91,  7.66, 63.64, 54.02, 49.66, 42.13,  0.19,  2.84,  8.68, 23.99, 15.35, 10.91,  7.66 
10062024-1650, clip_vitb16openai             , 16, 11   , dense     , 1000, 0.25, NAVI_wild_all,  9.20,  5.14,  2.90,  1.96, 23.99, 15.35, 10.91,  7.66, 63.64, 54.02, 49.66, 42.13,  0.19,  2.84,  8.68, 23.99, 15.35, 10.91,  7.66 
10062024-1652, cnxt_b_w_laion2b_s13b_b82k_augreg, 16, 3    , dense     , 1000, 0.25, NAVI_wild_all, 64.52, 28.25, 13.40,  8.68, 81.14, 50.72, 29.66, 21.75, 93.20, 80.12, 66.46, 58.00,  3.13, 20.05, 35.44, 81.14, 50.72, 29.66, 21.75 
